lat,lng,name,regione,numero_officine,link_images,LINK,,,,,,,,,,link_image,image
38.1937571,15.5542082,Messina,Sicilia,1,,,,,,,,,,,,https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/cuoco.jpeg,"<img src = ""https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/cuoco.jpeg"" style='height: 100%; width: 100%; object-fit: contain'/>"
44.3900282,7.8204718,Mondovì,Piemonte,10,,,,,,,,,,,,https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/fiano.jpg,"<img src = ""https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/fiano.jpg"" style='height: 100%; width: 100%; object-fit: contain'/>"
45.2417684,11.7508534,Monselice,Veneto,6,,,,,,,,,,,,https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/capri.jpg,"<img src = ""https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/capri.jpg"" style='height: 100%; width: 100%; object-fit: contain'/>"
43.883179,10.7709533,Montecatini,Toscana,7,,,,,,,,,,,,https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/nasen.jpeg,"<img src = ""https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/nasen.jpeg"" style='height: 100%; width: 100%; object-fit: contain'/>"
44.7733095,8.353709,Nizza Monferrato,Piemonte,10,,,,,,,,,,,,https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/apizza.jpeg,"<img src = ""https://raw.githubusercontent.com/ABC-DH/Distant_Reading_in_R/main/Mapping/images/apizza.jpeg"" style='height: 100%; width: 100%; object-fit: contain'/>"
45.58425,8.545997,Novara,Piemonte,10,,,,,,,,,,,,,
41.8933203,12.4829321,Roma,Lazio,2,,,,,,,,,,,,,
43.9740957,10.8687081,Pistoia,Toscana,7,,,,,,,,,,,,,
43.9357181,11.0941473,Prato,Toscana,7,,,,,,,,,,,,,
44.6446052,7.4926009,Saluzzo,Piemonte,10,,,,,,,,,,,,,
43.8198253,7.7748827,Sanremo,Liguria,2,,,,,,,,,,,,,
44.644037,7.655929,Savigliano,Piemonte,10,,,,,,,,,,,,,
45.0677551,7.6824892,Torino,Piemonte,10,,,,,,,,,,,,,
44.89666,8.866667,Tortona,Piemonte,10,,,,,,,,,,,,,
43.783333,7.3630,Ventimiglia,Liguria,2,,,,,,,,,,,,,
